1,1,Vintage Floral Dress,45.99,"Elegant vintage floral dress, perfect for summer outings. Made from lightweight, breathable fabric.",Clothing,20
2,1,Graphic Tee,20.89,"Stylish graphic tee with unique designs, made from 100% cotton, comfortable for everyday wear.",Clothing,30
3,2,Handmade Beaded Necklace,30.99,"Colorful beaded necklace, handcrafted with attention to detail. Perfect accessory to enhance any outfit.",Jewelry,0
4,2,Silver Stud Earrings,25.87,"Elegant silver stud earrings, simple yet chic, suitable for both casual and formal wear.",Jewelry,25
5,3,Decorative Throw Pillow,18.05,"Soft and cozy throw pillow, perfect for adding a touch of comfort and style to your home.",Home and Living Items,40
6,3,Ceramic Plant Pot,22.99,"Hand-painted ceramic plant pot, ideal for indoor plants. Adds a vibrant touch to any space.",Home and Living Items,35
1,4,Leather Wallet,50.05,"Premium leather wallet with multiple compartments, both stylish and practical.",Accessories,50
2,4,Silk Scarf,35.99,"Luxurious silk scarf with an elegant design, perfect for elevating any outfit.",Accessories,20
3,5,Wool Yarn Bundle,15.45,"High-quality wool yarn bundle, ideal for knitting and crochet projects. Comes in assorted colors.",Crafts and Supplies,50
5,5,Scrapbooking Kit,40.99,Complete scrapbooking kit with various decorative papers and embellishments.,Crafts and Supplies,25
5,6,Wireless Earbuds,75.65,Compact and convenient wireless earbuds with excellent sound quality and long battery life.,Electronics,30
1,6,Portable Charger,35.55,"High-capacity portable charger, perfect for keeping your devices powered on the go.",Electronics,40
2,7,Acrylic Paint Set,50.99,"Professional-grade acrylic paint set, vibrant colors for all your artistic creations.",Arts,20
3,7,Canvas Painting Kit,45.01,"Canvas painting kit complete with brushes and paints, ideal for aspiring artists and hobbyists.",Arts,15
6,8,Ergonomic Programming Chair,150.99,Comfortable and ergonomic chair designed specifically for long programming sessions.,Dev Stuff,10
4,8,LED Desk Lamp with USB,40.99,"Stylish LED desk lamp with USB ports, perfect for any developer's desk setup.",Dev Stuff,25